Type,Date,Price
Change Point,1987-08-03,20.95
Change Point,1987-08-24,17.48
Change Point,1988-01-04,17.95
Change Point,1988-03-02,13.8
Change Point,1988-06-03,16.45
Change Point,1988-10-05,11.2
Change Point,1988-11-22,13.35
Change Point,1989-02-24,17.05
Change Point,1989-04-20,22.25
Change Point,1989-08-07,16.05
Change Point,1989-12-28,20.85
Change Point,1990-01-05,23.13
Change Point,1990-06-08,14.68
Change Point,1990-09-27,41.45
Change Point,1990-11-06,33.2
Change Point,1991-03-13,20.33
Change Point,1991-04-02,17.63
Change Point,1991-08-22,19.53
Change Point,1991-10-18,23.0
Change Point,1992-03-03,17.05
Change Point,1992-06-24,21.55
Change Point,1992-08-11,19.48
Change Point,1993-01-20,16.7
Change Point,1993-03-05,19.6
Change Point,1993-09-15,15.35
Change Point,1993-09-30,17.23
Change Point,1994-02-18,13.0
Change Point,1994-02-28,13.59
Change Point,1994-08-01,19.03
Change Point,1994-08-22,15.25
Change Point,1995-01-13,16.2
Change Point,1995-05-01,19.38
Change Point,1995-07-21,15.35
Change Point,1995-11-09,16.9
Change Point,1996-01-29,16.23
Change Point,1996-04-11,23.9
Change Point,1996-06-24,18.38
Change Point,1996-10-22,25.4
Change Point,1996-11-12,22.38
Change Point,1997-03-19,20.0
Change Point,1997-06-11,16.69
Change Point,1997-10-03,21.29
Change Point,1998-01-15,14.75
Change Point,1998-03-26,15.18
Change Point,1998-06-15,10.77
Change Point,1998-09-24,14.84
Change Point,1998-12-10,9.1
Change Point,1999-05-04,16.98
Change Point,1999-06-01,14.22
Change Point,1999-09-24,23.66
Change Point,1999-10-29,21.11
Change Point,2000-03-07,31.93
Change Point,2000-04-11,21.05
Change Point,2000-09-07,37.43
Change Point,2000-12-22,22.23
Change Point,2001-02-08,30.68
Change Point,2001-06-28,25.68
Change Point,2001-09-14,29.22
Change Point,2001-11-15,16.51
Change Point,2002-04-30,26.98
Change Point,2002-06-11,22.37
Change Point,2002-09-24,29.47
Change Point,2002-11-14,22.82
Change Point,2003-03-10,34.94
Change Point,2003-04-29,23.23
Change Point,2003-08-08,30.59
Change Point,2003-09-19,25.51
Change Point,2004-01-05,32.3
Change Point,2004-02-12,30.17
Change Point,2004-05-24,39.22
Change Point,2004-07-02,35.36
Change Point,2004-10-22,52.28
Change Point,2004-12-13,36.77
Change Point,2005-03-17,56.03
Change Point,2005-05-16,46.42
Change Point,2005-08-12,67.26
Change Point,2005-11-18,52.84
Change Point,2006-02-01,65.64
Change Point,2006-06-16,65.01
Change Point,2006-08-09,78.26
Change Point,2007-01-12,49.95
Change Point,2007-02-23,60.38
Change Point,2007-07-20,79.09
Change Point,2007-08-22,67.73
Change Point,2008-01-03,98.45
Change Point,2008-01-23,87.06
Change Point,2008-07-03,143.95
Change Point,2008-07-30,122.46
Change Point,2008-11-24,49.51
Change Point,2008-12-26,33.73
Change Point,2009-05-21,58.02
Change Point,2009-06-11,71.71
Change Point,2009-12-01,78.68
Change Point,2009-12-11,70.07
Change Point,2010-05-03,88.09
Change Point,2010-05-25,67.18
Change Point,2010-10-22,80.75
Change Point,2010-11-11,88.08
Change Point,2011-05-02,126.64
Change Point,2011-05-05,111.93
Change Point,2011-10-04,101.84
Change Point,2011-10-14,114.33
Change Point,2012-03-13,128.14
Change Point,2012-06-25,88.69
Change Point,2012-09-14,117.48
Change Point,2012-11-16,106.81
Change Point,2013-02-08,118.9
Change Point,2013-04-17,96.84
Change Point,2013-09-06,117.15
Change Point,2013-11-07,103.08
Change Point,2014-06-19,115.19
Change Point,2014-06-30,111.03
Change Point,2014-08-18,99.37
Change Point,2014-11-19,77.21
Change Point,2014-11-24,79.62
Change Point,2015-01-13,45.13
Change Point,2015-04-15,59.32
Change Point,2015-05-13,66.33
Change Point,2015-08-24,41.59
Change Point,2015-09-04,48.59
Change Point,2015-10-08,52.13
Change Point,2016-01-20,26.01
Change Point,2016-01-26,30.94
Change Point,2016-06-08,50.73
Change Point,2016-08-02,40.0
Change Point,2016-12-21,53.01
Change Point,2017-02-21,56.34
Change Point,2017-06-20,43.98
Change Point,2017-07-20,48.54
Change Point,2017-11-14,60.91
Change Point,2017-12-11,65.62
Change Point,2018-05-15,78.94
Change Point,2018-07-18,70.52
Change Point,2018-10-04,86.07
Change Point,2018-12-28,50.57
Change Point,2019-04-25,74.94
Change Point,2019-08-07,55.03
Change Point,2020-01-06,70.25
Change Point,2020-04-21,9.12
Change Point,2020-08-25,46.01
Change Point,2020-10-30,36.33
Change Point,2021-03-05,69.95
Change Point,2021-03-23,59.96
Change Point,2021-08-20,65.51
Change Point,2021-10-15,84.67
Change Point,2022-01-13,85.8
Change Point,2022-03-08,133.18
Change Point,2022-08-11,107.19
Change Point,2022-09-26,82.55
Significant Change Point,1987-08-03,20.95
Significant Change Point,1987-08-24,17.48
Significant Change Point,1987-10-08,18.63
Significant Change Point,1988-01-04,17.95
Significant Change Point,1988-03-02,13.8
Significant Change Point,1988-06-03,16.45
Significant Change Point,1988-07-22,15.83
Significant Change Point,1988-10-05,11.2
Significant Change Point,1988-11-22,13.35
Significant Change Point,1988-12-09,14.9
Significant Change Point,1989-02-24,17.05
Significant Change Point,1989-04-20,22.25
Significant Change Point,1989-05-05,19.4
Significant Change Point,1989-08-07,16.05
Significant Change Point,1989-09-22,17.53
Significant Change Point,1989-12-28,20.85
Significant Change Point,1990-01-05,23.13
Significant Change Point,1990-02-14,19.6
Significant Change Point,1990-06-08,14.68
Significant Change Point,1990-07-09,14.98
Significant Change Point,1990-09-27,41.45
Significant Change Point,1990-11-06,33.2
Significant Change Point,1990-11-26,35.1
Significant Change Point,1991-03-13,20.33
Significant Change Point,1991-04-02,17.63
Significant Change Point,1991-04-18,19.4
Significant Change Point,1991-08-22,19.53
Significant Change Point,1991-09-06,20.13
Significant Change Point,1991-10-18,23.0
Significant Change Point,1992-01-28,18.43
Significant Change Point,1992-03-03,17.05
Significant Change Point,1992-06-18,21.23
Significant Change Point,1992-06-24,21.55
Significant Change Point,1992-08-11,19.48
Significant Change Point,1992-11-05,19.2
Significant Change Point,1993-01-20,16.7
Significant Change Point,1993-03-05,19.6
Significant Change Point,1993-03-31,18.7
Significant Change Point,1993-08-24,16.93
Significant Change Point,1993-09-15,15.35
Significant Change Point,1993-09-30,17.23
Significant Change Point,1994-01-17,14.4
Significant Change Point,1994-02-18,13.0
Significant Change Point,1994-02-28,13.59
Significant Change Point,1994-06-10,16.38
Significant Change Point,1994-08-01,19.03
Significant Change Point,1994-08-22,15.25
Significant Change Point,1994-10-31,17.18
Significant Change Point,1995-01-13,16.2
Significant Change Point,1995-03-23,17.48
Significant Change Point,1995-05-01,19.38
Significant Change Point,1995-07-21,15.35
Significant Change Point,1995-08-15,15.85
Significant Change Point,1995-11-09,16.9
Significant Change Point,1996-01-08,19.68
Significant Change Point,1996-01-29,16.23
Significant Change Point,1996-04-11,23.9
Significant Change Point,1996-05-31,18.1
Significant Change Point,1996-06-24,18.38
Significant Change Point,1996-10-21,25.08
Significant Change Point,1996-10-22,25.4
Significant Change Point,1996-11-12,22.38
Significant Change Point,1997-03-18,19.54
Significant Change Point,1997-03-19,20.0
Significant Change Point,1997-06-11,16.69
Significant Change Point,1997-08-11,18.21
Significant Change Point,1997-10-03,21.29
Significant Change Point,1998-01-06,15.48
Significant Change Point,1998-01-15,14.75
Significant Change Point,1998-03-26,15.18
Significant Change Point,1998-06-01,13.66
Significant Change Point,1998-06-15,10.77
Significant Change Point,1998-09-24,14.84
Significant Change Point,1998-10-20,11.29
Significant Change Point,1998-12-10,9.1
Significant Change Point,1999-03-15,12.17
Significant Change Point,1999-05-04,16.98
Significant Change Point,1999-06-01,14.22
Significant Change Point,1999-08-09,19.34
Significant Change Point,1999-09-24,23.66
Significant Change Point,1999-10-29,21.11
Significant Change Point,2000-01-04,23.95
Significant Change Point,2000-03-07,31.93
Significant Change Point,2000-04-11,21.05
Significant Change Point,2000-05-26,30.09
Significant Change Point,2000-09-07,37.43
Significant Change Point,2000-10-16,32.03
Significant Change Point,2000-12-22,22.23
Significant Change Point,2001-02-08,30.68
Significant Change Point,2001-03-08,26.37
Significant Change Point,2001-06-28,25.68
Significant Change Point,2001-07-27,24.82
Significant Change Point,2001-09-14,29.22
Significant Change Point,2001-11-15,16.51
Significant Change Point,2001-12-14,18.54
Significant Change Point,2002-04-30,26.98
Significant Change Point,2002-05-09,26.09
Significant Change Point,2002-06-11,22.37
Significant Change Point,2002-09-24,29.47
Significant Change Point,2002-09-30,29.11
Significant Change Point,2002-11-14,22.82
Significant Change Point,2003-02-20,32.76
Significant Change Point,2003-03-10,34.94
Significant Change Point,2003-04-29,23.23
Significant Change Point,2003-07-10,29.37
Significant Change Point,2003-08-08,30.59
Significant Change Point,2003-09-19,25.51
Significant Change Point,2003-11-27,28.9
Significant Change Point,2004-01-05,32.3
Significant Change Point,2004-02-12,30.17
Significant Change Point,2004-04-20,33.56
Significant Change Point,2004-05-24,39.22
Significant Change Point,2004-07-02,35.36
Significant Change Point,2004-09-07,40.19
Significant Change Point,2004-10-22,52.28
Significant Change Point,2004-12-13,36.77
Significant Change Point,2005-01-26,45.94
Significant Change Point,2005-03-17,56.03
Significant Change Point,2005-05-16,46.42
Significant Change Point,2005-06-16,54.3
Significant Change Point,2005-08-12,67.26
Significant Change Point,2005-11-03,59.55
Significant Change Point,2005-11-18,52.84
Significant Change Point,2006-02-01,65.64
Significant Change Point,2006-03-27,62.59
Significant Change Point,2006-06-16,65.01
Significant Change Point,2006-08-09,78.26
Significant Change Point,2006-08-16,72.67
Significant Change Point,2007-01-08,52.82
Significant Change Point,2007-01-12,49.95
Significant Change Point,2007-02-23,60.38
Significant Change Point,2007-06-04,70.9
Significant Change Point,2007-07-20,79.09
Significant Change Point,2007-08-22,67.73
Significant Change Point,2007-10-24,83.47
Significant Change Point,2008-01-03,98.45
Significant Change Point,2008-01-23,87.06
Significant Change Point,2008-03-20,99.78
Significant Change Point,2008-07-03,143.95
Significant Change Point,2008-07-30,122.46
Significant Change Point,2008-08-12,108.98
Significant Change Point,2008-11-24,49.51
Significant Change Point,2008-12-26,33.73
Significant Change Point,2009-01-05,45.84
Significant Change Point,2009-05-21,58.02
Significant Change Point,2009-05-29,64.98
Significant Change Point,2009-06-11,71.71
Significant Change Point,2009-10-20,76.51
Significant Change Point,2009-12-01,78.68
Significant Change Point,2009-12-11,70.07
Significant Change Point,2010-03-16,79.45
Significant Change Point,2010-05-03,88.09
Significant Change Point,2010-05-25,67.18
Significant Change Point,2010-08-06,81.28
Significant Change Point,2010-10-22,80.75
Significant Change Point,2010-11-11,88.08
Significant Change Point,2010-12-29,93.52
Significant Change Point,2011-05-02,126.64
Significant Change Point,2011-05-05,111.93
Significant Change Point,2011-05-25,114.47
Significant Change Point,2011-10-04,101.84
Significant Change Point,2011-10-14,114.33
Significant Change Point,2011-10-18,112.08
Significant Change Point,2012-03-13,128.14
Significant Change Point,2012-03-14,126.98
Significant Change Point,2012-06-25,88.69
Significant Change Point,2012-08-09,113.52
Significant Change Point,2012-09-14,117.48
Significant Change Point,2012-11-16,106.81
Significant Change Point,2013-01-02,112.98
Significant Change Point,2013-02-08,118.9
Significant Change Point,2013-04-17,96.84
Significant Change Point,2013-05-28,103.77
Significant Change Point,2013-09-06,117.15
Significant Change Point,2013-10-17,109.55
Significant Change Point,2013-11-07,103.08
Significant Change Point,2014-03-12,107.88
Significant Change Point,2014-06-19,115.19
Significant Change Point,2014-08-18,99.37
Significant Change Point,2014-11-24,79.62
Significant Change Point,2015-01-13,45.13
Significant Change Point,2015-05-13,66.33
Significant Change Point,2015-08-24,41.59
Significant Change Point,2015-10-08,52.13
Significant Change Point,2016-01-20,26.01
Significant Change Point,2016-04-19,43.02
Significant Change Point,2016-06-08,50.73
Significant Change Point,2016-08-02,40.0
Significant Change Point,2016-09-07,47.0
Significant Change Point,2016-12-21,53.01
Significant Change Point,2017-01-30,54.77
Significant Change Point,2017-02-21,56.34
Significant Change Point,2017-06-20,43.98
Significant Change Point,2017-07-20,48.54
Significant Change Point,2017-11-07,64.36
Significant Change Point,2017-11-14,60.91
Significant Change Point,2017-12-11,65.62
Significant Change Point,2018-04-03,69.02
Significant Change Point,2018-05-15,78.94
Significant Change Point,2018-07-18,70.52
Significant Change Point,2018-08-23,73.73
Significant Change Point,2018-10-04,86.07
Significant Change Point,2018-12-28,50.57
Significant Change Point,2019-01-17,59.85
Significant Change Point,2019-04-25,74.94
Significant Change Point,2019-06-10,64.31
Significant Change Point,2019-08-07,55.03
Significant Change Point,2019-10-28,60.39
Significant Change Point,2020-01-06,70.25
Significant Change Point,2020-03-16,28.04
Significant Change Point,2020-04-21,9.12
Significant Change Point,2020-08-07,44.07
Significant Change Point,2020-08-25,46.01
Significant Change Point,2020-10-30,36.33
Significant Change Point,2020-12-29,50.44
Significant Change Point,2021-03-05,69.95
Significant Change Point,2021-03-23,59.96
Significant Change Point,2021-05-24,68.59
Significant Change Point,2021-08-20,65.51
Significant Change Point,2021-10-13,83.53
Significant Change Point,2021-10-15,84.67
Significant Change Point,2022-01-13,85.8
Significant Change Point,2022-03-04,123.86
Significant Change Point,2022-03-08,133.18
Significant Change Point,2022-08-11,107.19
Significant Change Point,2022-09-26,82.55
